549,2026/04/29 16:36:03 HST
# 2013-Jul-12, MLB, added config for 13AQ28-110 AND 13B-Q-91,,,,,,,,,,,,
# 2014-Jul-17, REM, edited IR Texp for SB+SXD+32 0.45 arcsec slit from 8 sec to 7 sec,,,,,,,,,,,,
# 2014-Aug-06, astephens, modified 0.15/pix 32 l/mm 1.47-1.80 1.0 arcsec slit exposure time from 0.24s to 0.38s,,,,,,,,,,,,
# 2018-Oct-15, astephens, added configurations for 0.05/pix + 111 l/m + LXD + 0.10 arcsec slit,,,,,,,,,,,,
# 2019-Feb-03, astephens, change long camera, long slit, 111 l/mm, 3.36um, 0.1 arcsec slit, to work for both well depths,,,,,,,
# 2022-Jan-21, astephens and mrawlings, add config: 0.05/pix, 111 l/mm, No, 4.40-4.97um, 0.2 arcsec slit, Shallow, 4 seconds,,,,,,
# 2022-Feb-01, astephens and mrawlings, add config: 0.05/pix, 10 l/mm, No, 2.8-4.2 um, 0.45 arcsec slit, Shallow, 0.2 seconds,,,,,,
# 2022-Jun-06, astephens, add LR-IFU configs,,,,,,,,,,,,
# 2022-Jul-04, astephens, add short-camera 0.15 arcsec slit configs,,,,,,,,,,,,
# 2023-Jun-01, astephens, add HR-IFU configs,,,,,,,,,,,,
# 2023-Oct-30, astephens and mrawlings, add config: 0.05/pix, 111 l/mm, 0.30 arcsec, Shallow,,,,,,,,,
# 2023-Dec-20, astephens and blemaux, add config: 0.05/pix, 32 l/mm, HR-IFU, Shallow, 3.95um,,,,,,,,
# 2024-Feb-06, astephens and hsuh, add deep well config: 0.15/pix, 32 l/mm, 1.65um, LR-IFU,,,,,,,,,
# 2024-Jul-25, astephens, add shallow-well flat for LR 111 4.05um 0.1 arcsec slit,,,,,,,,,,,,
# 2025-Jan-17, astephens, add shallow-well LR 10 0.1 arcsec slit at 3.7um,,,,,,,,,,,,
# 2025-Apr-04, bclemaux," modified 0.15""/pix", 111 l/mm," 0.3""-wide slit", 1.25-1.37um to avoid >5% non-linearity,,,,,,,,,
# 2025-Dec-16, bclemaux, modified many SR exp. times and # of obs. after testing the current fiducial values with new SR camera + current GCAL env.,,,,,,,,,,,,
# 2026-Apr-29, bclemaux, added shutter open flats for LB LXD 111 l/mm setups in addition to shutter closed flats,,,,,,,,,,,,
#,,,,,,,,,,,,,,
Mode,Pixel Scale,Disperser,Cross Dispersed,Central Wavelength,Focal Plane Unit,Well Depth,Calibration Lamps,Calibration Shutter,Calibration Filter,Calibration Diffuser,Calibration Observe,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
#,,,,,,,,,,,,,,
Imaging,"0.05""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Open,none,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Closed,none,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Open,ND1.0,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Closed,ND1.0,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Open,ND2.0,IR,10,1.5,1,Night
Imaging,"0.05""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Closed,ND2.0,IR,10,1.5,1,Night
Imaging,"0.05""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Open,ND4-5,IR,8,8,1,Night
Imaging,"0.05""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Closed,ND4-5,IR,8,8,1,Night
Imaging,"0.15""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Open,ND1.0,IR,8,2.5,1,Night
Imaging,"0.15""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Closed,ND1.0,IR,8,2.5,1,Night
Imaging,"0.15""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Open,ND4.0,IR,8,1.5,1,Night
Imaging,"0.15""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Closed,ND4.0,IR,8,1.5,1,Night
Imaging,"0.15""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Open,ND4-5,IR,6,12,1,Night
Imaging,"0.15""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Closed,ND4-5,IR,6,12,1,Night
Imaging,"0.15""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Open,ND4-5,IR,10,1,1,Night
Imaging,"0.15""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Closed,ND4-5,IR,10,1,1,Night
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.10 arcsec,Shallow,IR grey body - high,Open,none,IR,5,3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.45 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,8,10,1,Night
